update,frames,FPS,duration,return_mean,return_std,return_min,return_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm
58,59392,1890.2457716706556,31,-947.53125,661.0974414928843,-2513.5,-312.5,62.75,58.921027655668055,2.0,176.0,1.0549754798412323,-40.8621129989624,168.44115257263184,32694.54736328125,56.343256460941646
59,60416,1911.3659254485958,32,-1009.4,448.50626900115157,-2088.0,-329.0,70.06666666666666,55.58832811141402,5.0,243.0,1.0260485112667084,-41.40136194229126,177.36981010437012,35589.78369140625,74.83896064671518
60,61440,1836.140346317089,32,-971.1875,816.861636749915,-3508.0,-329.0,62.375,72.35578328647959,4.0,295.0,1.009579673409462,-41.980961322784424,161.37106895446777,31601.22265625,60.256533546473285
61,62464,1911.3625230355426,33,-1030.6875,634.1031036777458,-1965.0,-344.0,71.0,56.96928997275637,4.0,145.0,1.0111299231648445,-42.59290647506714,127.55690574645996,18874.47705078125,53.69232063972701
62,63488,1900.7467606293267,33,-1072.4545454545455,678.3736384828273,-2295.0,-331.0,98.27272727272727,90.1040720592188,4.0,258.0,1.0457573235034943,-43.18966197967529,143.35808181762695,22834.17724609375,68.8317831083852
63,64512,1925.707605863163,34,-1429.5833333333333,928.041100772063,-3746.5,-300.0,121.41666666666667,114.2062887449237,1.0,403.0,1.0277375876903534,-43.7870078086853,159.11999702453613,28854.23486328125,139.53441244130397
64,65536,1932.9616330072251,34,-1436.388888888889,908.4493130169606,-3576.0,-387.5,103.88888888888889,68.95802981918212,9.0,243.0,1.0504148304462433,-44.38034915924072,162.44622802734375,29964.366455078125,43.82836599387777
65,66560,1918.5078210498762,35,-1594.4375,951.293377378267,-3576.0,-387.5,123.875,76.14039253247911,9.0,243.0,1.0753535479307175,-44.9699501991272,150.82119941711426,25682.873291015625,37.23886982343121
66,67584,1918.5086780235504,35,-1227.6153846153845,981.8591892199314,-3278.0,-314.0,95.07692307692308,119.27567392613022,5.0,450.0,1.0713911801576614,-45.54349327087402,137.99494552612305,24355.085205078125,48.73967081421861
67,68608,1904.27109578224,36,-2273.3125,1580.014634772017,-6007.0,-711.0,220.75,142.36726273971837,55.0,450.0,1.0216328501701355,-46.11056995391846,141.51196098327637,23519.173583984375,120.0876050190079
68,69632,1893.7253922951465,37,-973.25,617.5935079576441,-2281.0,-310.5,76.57142857142857,72.09588286809873,2.0,237.0,1.0720375180244446,-46.69029521942139,148.54872131347656,25379.73046875,169.550811401319
69,70656,1918.5138198816721,37,-1110.0,767.8410406043452,-2978.5,-300.0,79.54545454545455,73.11679776701438,1.0,235.0,1.0251737982034683,-47.26670598983765,133.2379446029663,21111.191162109375,110.57539162470081
70,71680,1925.708469281017,38,-1332.409090909091,615.32322689276,-2054.0,-352.0,124.18181818181819,77.0287056077363,6.0,228.0,1.0753021240234375,-47.853599071502686,155.98987007141113,26965.9921875,156.60142374104802
71,72704,1883.307409413101,38,-904.0294117647059,703.4826907563339,-2888.5,-313.5,57.0,62.421715678402286,2.0,232.0,1.045939326286316,-48.44989252090454,159.07615280151367,28389.131103515625,110.58128269581671
72,73728,1897.2312563609635,39,-1440.4375,710.1262404275384,-2419.5,-549.5,117.5,86.0116271209887,27.0,293.0,0.9953420087695122,-49.04407358169556,151.4524917602539,26825.476806640625,102.64134643128578
73,74752,1922.1009712613509,39,-1266.7727272727273,962.4870096794309,-3582.0,-515.5,108.45454545454545,95.82120057345787,19.0,266.0,0.9884396195411682,-49.600242614746094,141.25227546691895,23608.195068359375,27.39203337140347
74,75776,1879.8577057245277,40,-1457.4375,989.240726438085,-3582.0,-484.0,112.125,91.75298019683066,17.0,266.0,1.0274283736944199,-50.111374855041504,138.88425254821777,24155.31298828125,92.79608224885735
75,76800,1886.7697973958425,40,-1736.625,940.0170128114703,-3551.0,-484.0,159.625,91.9373937796803,17.0,248.0,1.0272247046232224,-50.72901153564453,142.00082206726074,23329.814208984375,77.56748134343854
76,77824,1742.617775080092,41,-2337.9375,1165.35129997085,-4400.5,-484.0,215.0,104.71867073258713,17.0,417.0,1.0590205192565918,-51.36459493637085,138.54768562316895,21697.64599609375,52.91168138140114
77,78848,1819.8720935849337,41,-1264.4333333333334,1051.4460180574602,-4278.5,-300.0,102.13333333333334,109.9732492725188,1.0,375.0,0.9916835129261017,-51.95959520339966,177.09429359436035,35238.5283203125,216.6436167158861
78,79872,1862.7994580274908,42,-1167.8846153846155,1406.123601551527,-5331.5,-300.0,80.38461538461539,120.42906527625965,1.0,450.0,0.9542230442166328,-52.54167985916138,154.42677307128906,27302.479248046875,43.247695116401815
79,80896,1922.1001110754087,43,-1334.6875,1374.2039044820642,-4736.5,-300.0,79.375,99.5112273816377,1.0,325.0,0.9141306057572365,-53.114975452423096,146.49350357055664,25062.292236328125,178.17980761703961
80,81920,1866.18759347303,43,-2355.1875,1345.3304876846246,-4736.5,-708.5,206.25,132.66946709774635,36.0,450.0,1.0189782679080963,-53.691279888153076,132.5307273864746,21001.144775390625,110.94385624813303
81,82944,1904.27109578224,44,-1255.0384615384614,980.5307719161883,-3655.0,-373.5,111.38461538461539,127.6440594667835,7.0,414.0,1.0652856528759003,-54.251293659210205,160.43651390075684,27989.994140625,148.88646264528927
82,83968,1826.340019050211,44,-752.1296296296297,753.8854367307262,-3474.0,-311.5,39.851851851851855,64.7357613137201,2.0,274.0,1.0647900849580765,-54.831039905548096,169.67521476745605,32472.415771484375,88.68107648894673
83,84992,1839.4305370921102,45,-642.0897435897435,488.2433566157572,-3021.0,-300.0,36.282051282051285,49.912718032914896,1.0,257.0,1.056082010269165,-55.425766944885254,175.54268646240234,34234.30517578125,64.44941121633234
84,86016,1859.4252128722558,45,-627.2962962962963,280.13301269414393,-1322.5,-337.0,34.407407407407405,29.104230644815402,5.0,117.0,1.010201334953308,-56.01171684265137,165.8192958831787,31105.42529296875,72.17350524660259
85,87040,1842.7325404589062,46,-597.6818181818181,315.65187042972696,-1717.5,-300.0,34.09090909090909,37.5018089554508,1.0,148.0,0.9975586608052254,-56.631014347076416,167.013671875,30665.79443359375,42.822047130874466
86,88064,1800.705570029323,46,-583.04,178.17973622160292,-945.0,-300.0,29.68,18.18509279602389,1.0,73.0,1.0118111968040466,-57.239990234375,159.74250984191895,29542.10693359375,53.52606584438624
87,89088,1829.5967086603841,47,-594.55,424.4875803051644,-2509.5,-321.0,29.333333333333332,38.336521606542355,3.0,166.0,0.9905721098184586,-57.798038482666016,163.134672164917,30661.43505859375,44.183831050289115
88,90112,1904.270251480864,48,-759.2222222222222,493.3513385102715,-2187.5,-310.5,46.81481481481482,53.931394716591726,2.0,215.0,1.0422638952732086,-58.37824726104736,166.04309272766113,31370.39111328125,54.65752279834713
89,91136,1879.8585285169488,48,-651.1724137931035,340.08744503948384,-1605.5,-300.0,36.41379310344828,37.280407391383726,1.0,152.0,1.072253167629242,-59.00282621383667,166.30765533447266,31206.38134765625,65.80205367048481
90,92160,1859.424407869473,49,-711.46875,413.7710896721006,-1776.5,-270.5,44.4375,35.668558896456695,3.0,120.0,1.0540012270212173,-59.57949686050415,150.84782218933105,25592.43115234375,58.45322336388172
91,93184,1886.7689685423359,49,-900.3157894736842,644.7782811602417,-2888.5,-311.5,59.68421052631579,70.97371836152409,2.0,314.0,1.045430600643158,-60.169448375701904,158.42577743530273,28954.344970703125,117.530682760102
92,94208,1869.5872625072857,50,-805.3913043478261,546.3171151988269,-2296.5,-309.5,54.47826086956522,54.69032945691459,2.0,180.0,1.0564886927604675,-60.76045608520508,160.01113891601562,29242.428955078125,52.89310088318092
93,95232,1819.8628401940637,50,-546.829268292683,262.9801673352189,-1379.0,-300.0,26.878048780487806,27.337274760200472,1.0,116.0,1.0597344487905502,-61.34343338012695,170.00374221801758,32215.209228515625,98.43220743740522
94,96256,1886.7689685423359,51,-700.225,377.897389346632,-1672.5,-307.0,40.05,34.8632686362022,2.0,113.0,1.0647255778312683,-61.899168968200684,156.01723289489746,28765.935791015625,45.49886402905652
95,97280,1856.0583571662548,51,-821.5833333333334,443.5628869982499,-1700.5,-315.0,55.111111111111114,51.4326840409318,2.0,212.0,1.0520446002483368,-62.46528434753418,158.090181350708,28821.24169921875,115.47507680045024
96,98304,1911.366776053752,52,-962.4705882352941,431.9644753431438,-1744.5,-328.0,60.8235294117647,36.64974968876507,4.0,135.0,1.0062536597251892,-63.068766593933105,161.0849437713623,29779.093017578125,39.54063394005764
97,99328,1879.8593513100902,53,-994.6470588235294,411.8834702674833,-1676.0,-360.0,69.3529411764706,41.22954562599437,5.0,135.0,1.0385532826185226,-63.65415906906128,169.06443405151367,31341.149658203125,42.239308827340345
98,100352,1922.1001110754087,53,-1105.7916666666667,547.0557732966743,-2556.5,-357.0,68.33333333333333,42.184778718817,5.0,158.0,1.0211334079504013,-64.2365255355835,171.8293972015381,33492.899658203125,113.6744315047051
99,101376,1872.9985238304355,54,-1074.6333333333334,716.6050159529228,-2771.0,-400.0,71.93333333333334,54.24078006649815,10.0,172.0,1.0399432629346848,-64.8169412612915,169.2685546875,31809.181640625,42.20038082130465
100,102400,1922.101831448063,54,-786.4375,568.8950055535291,-2187.5,-399.5,46.25,50.18901772300391,10.0,162.0,0.9824570640921593,-65.39757061004639,141.5639877319336,22323.485595703125,115.81167911703115
101,103424,1904.27109578224,55,-1688.625,1003.8549680481738,-3187.0,-534.5,131.75,92.95395365448422,28.0,268.0,0.9827902764081955,-65.9786901473999,143.64593696594238,23605.294189453125,31.742230472162017
102,104448,1929.3260675722963,55,-1620.125,784.2022518936043,-2973.5,-534.5,127.5,78.45540134369335,28.0,268.0,1.016215980052948,-66.55885410308838,143.42035675048828,22955.344482421875,129.86378349664056
103,105472,1856.063971816999,56,-1992.5,1799.1254472659764,-5361.0,-372.0,185.0,192.02560593143127,7.0,450.0,1.0032493099570274,-67.07756423950195,137.43001174926758,22737.8984375,91.22387615623933
104,106496,1929.3278009044327,56,-1303.0,1268.0695219505908,-4559.0,-360.0,101.875,128.99557889710795,6.0,432.0,1.0013099759817123,-67.60763645172119,137.50992393493652,21331.9951171875,31.990545519557777
105,107520,1940.2687647328282,57,-2123.5,1772.147426147159,-5478.0,-360.0,172.625,162.79199726952183,6.0,450.0,0.9891801401972771,-68.16324424743652,143.02828979492188,23132.353271484375,32.99473251022993
106,108544,1925.707605863163,57,-2888.1875,1463.7568944649756,-5478.0,-1300.5,269.875,143.41847640733044,93.0,450.0,1.028629556298256,-68.68677711486816,156.6562843322754,28154.6806640625,37.308074630332484
107,109568,1866.1867826043128,58,-1722.2333333333333,1491.049695870515,-5122.0,-312.5,131.46666666666667,144.52444622123815,5.0,450.0,1.0079740136861801,-69.25401496887207,164.72958946228027,30624.65966796875,127.25843331031393
108,110592,1897.2287421520614,58,-803.1666666666666,447.2667610672132,-1847.5,-348.0,56.666666666666664,43.74420596553966,4.0,142.0,1.049040600657463,-69.82543563842773,136.93595123291016,21396.344482421875,107.85928633161332
109,111616,1883.30658359884,59,-1794.4375,1790.6829429979362,-6335.0,-450.0,146.875,132.6870731269629,14.0,450.0,1.054393321275711,-70.3966588973999,139.5002841949463,22440.17529296875,34.1144610554169
110,112640,1879.860174103952,60,-1172.1176470588234,940.1093417227931,-3826.0,-449.5,83.76470588235294,90.58666919960244,16.0,376.0,1.0134569257497787,-70.96530437469482,149.51123046875,26345.04931640625,46.57264658127491
111,113664,1829.592032374867,60,-1008.4375,401.2707500475832,-1878.0,-584.0,74.625,28.137774876489434,39.0,134.0,0.9859867990016937,-71.54486274719238,124.77804279327393,19057.1103515625,70.7745056278344
112,114688,1869.5872625072857,61,-1045.5277777777778,761.0421668895559,-2484.0,-159.0,95.77777777777777,116.76308185360053,2.0,450.0,0.9747652411460876,-72.08916091918945,135.39519882202148,22049.951171875,40.051632545195034
113,115712,1862.7970342484023,61,-950.1875,501.2884609620991,-1775.0,-471.5,65.25,51.9320469459851,16.0,162.0,1.0155757069587708,-72.66201305389404,135.52876663208008,21129.1123046875,61.08777773170461
114,116736,1907.8110670763938,62,-1004.3125,753.7705609757852,-2648.5,-258.5,70.4375,77.0364919616022,3.0,246.0,1.009172573685646,-73.26301002502441,148.99077033996582,25508.472412109375,49.438028960876636
115,117760,1883.3107126773866,62,-1100.7666666666667,680.9508760223131,-2930.5,-288.0,91.26666666666667,80.99668031606124,3.0,318.0,1.036736324429512,-73.84311294555664,154.92969512939453,26887.96923828125,46.64714385110034
116,118784,1897.2320944320784,63,-819.9761904761905,530.8736168356403,-2243.5,-300.0,47.0,46.62617290749907,1.0,194.0,1.041245311498642,-74.41784858703613,155.95543670654297,29005.458251953125,39.85993961873261
117,119808,1879.8568829328267,63,-979.4230769230769,433.9664931302454,-2082.0,-300.0,66.76923076923077,44.129449169728694,1.0,187.0,1.0414268374443054,-74.99605083465576,151.473388671875,26267.5048828125,41.248931102601304
118,120832,1900.7442370943131,64,-1038.3,658.7198645858496,-2480.0,-363.0,75.9,74.7655669409388,6.0,248.0,1.0080743879079819,-75.49339580535889,148.38431549072266,26429.052978515625,48.73965993722067
119,121856,1862.7994580274908,65,-1387.25,1023.3258889522926,-3970.0,-427.0,108.375,131.12583412508764,12.0,450.0,1.0212285667657852,-75.94707775115967,159.04082679748535,31106.945068359375,56.984554195798125
120,122880,1879.8577057245277,65,-979.55,907.1312046776915,-3141.5,-263.5,82.3,115.96727986807312,3.0,408.0,1.042676404118538,-76.46436214447021,138.15004539489746,22809.723388671875,32.61737281219782
121,123904,1846.0480070696226,66,-1380.138888888889,1588.6871746958902,-6745.5,-317.5,104.72222222222223,135.54777983162967,2.0,450.0,1.032519519329071,-77.02488136291504,152.5830307006836,26281.01708984375,125.74648531880787
122,124928,1856.061565533949,66,-1014.5294117647059,699.6247202143076,-2577.0,-363.0,68.29411764705883,66.0941972231632,10.0,236.0,1.0400331169366837,-77.59591007232666,166.81339645385742,30284.201171875,76.16175709534116
123,125952,1846.045626686759,67,-630.6724137931035,319.2427537012004,-1441.5,-313.0,34.55172413793103,29.080845938102012,2.0,98.0,1.0693165957927704,-78.16397190093994,158.8406276702881,28552.073486328125,166.04205431116077
124,126976,1856.061565533949,67,-738.5769230769231,380.0654724039129,-1970.5,-333.0,44.34615384615385,39.75399574275261,4.0,180.0,1.0645785331726074,-78.72330856323242,170.56860160827637,32045.498046875,119.81326129698272
125,128000,1862.798650100427,68,-698.2708333333334,372.06059036036794,-1991.0,-320.0,35.291666666666664,30.404877852447004,3.0,145.0,1.0558981150388718,-79.28805637359619,176.24017524719238,33439.32470703125,23.147972802159305
126,129024,1890.243275941971,68,-891.85,486.3162834000112,-2300.0,-337.5,54.85,43.69013046444243,4.0,161.0,1.0483328551054,-79.8615550994873,162.3999366760254,29460.024658203125,42.438818862382234
127,130048,1883.30658359884,69,-735.6363636363636,378.9074359805074,-1591.5,-300.0,42.18181818181818,34.924120817509966,1.0,118.0,1.0613475888967514,-80.4353895187378,169.4760913848877,30846.804931640625,46.39143764774742
128,131072,1856.062367627606,69,-787.3461538461538,556.7637043532984,-2082.0,-334.5,45.57692307692308,47.306019357536535,4.0,171.0,1.0526563972234726,-81.00389957427979,161.9469509124756,30179.3076171875,55.40597459497454
129,132096,1794.4078789101782,70,-734.3863636363636,466.738683259073,-2092.0,-309.0,42.86363636363637,48.28918141077061,2.0,203.0,1.060333490371704,-81.56468963623047,156.86986351013184,26863.2412109375,45.5582065723169
