update,frames,FPS,duration,return_mean,return_std,return_min,return_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm
31,31744,2367.4036059772575,13,-1546.25,957.1783075791052,-3157.5,-476.0,140.75,111.13702128453866,13.0,307.0,0.8711921125650406,-30.34260368347168,153.22846603393555,27503.130859375,113.55333208159539
32,32768,2335.0386200387525,14,-1949.5625,951.9709632356178,-3157.5,-324.0,158.75,91.16160101709491,3.0,307.0,0.8309575617313385,-31.085859298706055,149.39837646484375,26160.4931640625,36.039808640481674
33,33792,2372.877333738484,14,-1586.4375,1074.808484030411,-3157.0,-324.0,112.75,79.57818482473698,3.0,219.0,0.8064530193805695,-31.83509111404419,146.01192092895508,24804.6884765625,96.87647955639454
34,34816,2378.3777490684383,15,-2893.25,1555.0694116340917,-5526.0,-437.5,266.875,162.85302998409333,12.0,450.0,0.7319699078798294,-32.600860595703125,139.72583389282227,24420.50634765625,50.50148762006471
35,35840,2372.883888575817,15,-3235.375,1420.3516014969673,-5526.0,-437.5,314.75,153.05942473431682,12.0,450.0,0.5595012754201889,-33.34270763397217,143.51366806030273,22612.66796875,17.191485662163014
36,36864,2345.7307353689735,16,-3121.4375,764.326028173678,-3906.0,-1931.5,321.125,102.84264375734416,132.0,450.0,0.5979547947645187,-34.09985160827637,157.94328689575195,26703.48486328125,20.76084549139603
37,37888,2378.3843343297335,16,-3593.5,1533.5797990323165,-5845.0,-930.0,346.625,133.22437605408405,64.0,450.0,0.5242166370153427,-34.86561870574951,148.46682357788086,24283.59912109375,35.668691760402105
38,38912,2389.4687305454318,16,-3850.6875,1637.817544353995,-5845.0,-930.0,353.375,136.87305934697304,64.0,450.0,0.4299853593111038,-35.609747886657715,140.07399368286133,21305.7734375,21.020005430769935
39,39936,2378.3856513863684,17,-4382.8125,1429.0163342641504,-5845.0,-930.0,401.75,127.65750075886649,64.0,450.0,0.7402962446212769,-36.362436294555664,137.87392807006836,21676.70166015625,243.00775229290514
40,40960,2389.466071826951,17,-4362.5625,1437.2989519733708,-5845.0,-930.0,401.75,127.65750075886649,64.0,450.0,0.7337846904993057,-37.12379837036133,142.7370147705078,22711.60302734375,40.34946441519208
41,41984,2361.9433833185585,18,-4024.0625,1484.9539015887833,-5898.0,-633.0,398.5,136.2561925198264,38.0,450.0,0.6240731328725815,-37.845553398132324,135.46946334838867,21508.67529296875,46.19599171874639
42,43008,2361.9381876894513,18,-3987.75,1584.8053705423893,-5898.0,-633.0,378.625,138.86588628961397,38.0,450.0,0.5471588969230652,-38.54422378540039,156.44507598876953,27007.51416015625,40.322028068283416
43,44032,2313.9591231563613,19,-3785.5625,1515.4510144982416,-5898.0,-633.0,352.0,142.98688751070847,38.0,450.0,0.4593755155801773,-39.32533931732178,141.65522003173828,22574.56591796875,29.51670672579509
44,45056,2171.7859325856334,19,-3689.75,1465.6330330270262,-5703.0,-633.0,342.25,138.56293696367726,38.0,450.0,0.5225903168320656,-40.08226490020752,139.4498405456543,22165.12109375,45.84491042353608
45,46080,1669.516837759433,20,-3529.4375,1698.6140202658607,-5703.0,-973.5,296.75,165.91394606843633,63.0,450.0,0.6825892925262451,-40.78800010681152,144.4331398010254,25278.14794921875,47.27537504876326
46,47104,1941.4448962211827,20,-2421.9375,1338.82682873617,-4890.0,-1106.0,227.75,173.41838858667785,53.0,450.0,0.6666828095912933,-41.470486640930176,128.41753005981445,19145.3662109375,38.00851111669923
47,48128,2288.1377645229927,21,-2215.5625,1035.3255356861193,-4242.0,-1106.0,227.75,173.41838858667785,53.0,450.0,0.6633419841527939,-42.21937274932861,140.92167282104492,22837.61669921875,64.34497547889325
48,49152,2277.9558470984084,21,-3142.375,1218.0271895056367,-4934.0,-1106.0,343.5,152.21202317819706,53.0,450.0,0.7432772815227509,-42.952646255493164,148.1906509399414,25981.20654296875,74.86875072658587
49,50176,2083.5014034029005,22,-3642.875,1409.1227712215143,-5414.0,-669.5,354.75,134.22997988527004,32.0,450.0,0.7512028813362122,-43.67086696624756,147.1913833618164,25639.44775390625,52.38561008185208
50,51200,2367.3931666425974,22,-3368.3125,1752.8257353752397,-5414.0,-669.5,304.25,162.0160100113566,32.0,450.0,0.7374830394983292,-44.43075180053711,154.34012603759766,26098.21142578125,50.49937350443746
51,52224,2298.387742837618,23,-3252.3125,1721.252649553153,-5414.0,-669.5,306.25,169.14102843485372,32.0,450.0,0.6326651573181152,-45.17709159851074,153.52711868286133,26345.1494140625,261.4718038603468
52,53248,2288.135326521262,23,-3338.3125,1724.046836977972,-5360.0,-395.0,311.375,175.46077731219592,11.0,450.0,0.7030755281448364,-45.91619110107422,147.46378326416016,25170.69775390625,67.4273065855542
