update,frames,FPS,duration,return_mean,return_std,return_min,return_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm
18,18432,2303.5577478703326,8,-1188.111111111111,826.5708203098234,-2735.5,-360.0,102.22222222222223,80.85896882539484,6.0,253.0,1.049329936504364,-15.377918720245361,160.12437438964844,27449.97607421875,303.96568212668416
19,19456,2308.7448589047813,9,-1079.4,364.4733049209502,-1683.5,-588.0,73.4,33.24214192858216,28.0,139.0,0.9959460645914078,-15.946374416351318,159.04103088378906,28814.58935546875,71.90008115524162
20,20480,2288.1292315396645,9,-1101.5625,314.4128891183534,-1596.0,-588.0,79.625,35.1850021315901,28.0,142.0,1.03475421667099,-16.501028537750244,150.80065155029297,25863.34521484375,173.0282852162977
21,21504,2335.0424285061104,10,-1576.55,1366.024202750449,-4117.5,-336.0,145.5,156.61050411769958,5.0,450.0,1.03491672873497,-17.05080795288086,148.76652145385742,26767.45849609375,117.67621330168114
22,22528,2277.960679818653,10,-1070.5333333333333,893.1146336774965,-3846.0,-300.0,90.13333333333334,100.05323027713243,1.0,375.0,1.0159229934215546,-17.583662033081055,167.23218536376953,32533.763671875,86.571777775459
23,23552,2313.9566298190734,11,-1163.9333333333334,1246.649681702478,-5656.0,-340.0,73.4,81.05619449904287,6.0,336.0,0.9996180087327957,-18.10809850692749,180.28155517578125,35795.27734375,229.104481195828
24,24576,2319.1907318060935,11,-1072.9,604.3586187025052,-2481.5,-327.0,78.7,57.81012022128997,5.0,188.0,1.0463175475597382,-18.648895740509033,180.44961166381836,35879.6787109375,281.50964090170237
25,25600,2335.0398895264916,12,-1430.1666666666667,1315.4885235362394,-4741.5,-312.0,98.44444444444444,111.19563451773845,2.0,383.0,1.0475304424762726,-19.172053813934326,171.16448593139648,32692.390625,64.95443542502562
26,26624,2262.875594635021,12,-1154.6,1250.4934386073364,-5702.0,-305.5,78.9,104.36900881008692,2.0,405.0,1.0089535117149353,-19.69508171081543,179.10992431640625,36339.5732421875,73.34899136918594
27,27648,2223.603142578312,12,-970.3529411764706,581.3088873321562,-2652.0,-367.5,63.1764705882353,60.551616575416006,6.0,273.0,1.0110141038894653,-20.21449041366577,182.88403701782227,37535.25,100.23306353914798
28,28672,2283.037880644316,13,-944.6071428571429,498.66458017429727,-1725.5,-309.5,63.714285714285715,48.09132468755754,2.0,140.0,1.0046886205673218,-20.73039960861206,165.84321975708008,30447.7265625,119.45350967879736
29,29696,2029.8699389332965,13,-820.6923076923077,587.6040182372145,-2327.5,-300.0,60.0,63.04943115707523,1.0,213.0,0.9993277937173843,-21.236388206481934,161.95891571044922,28820.41845703125,292.5207419691832
30,30720,2233.2923222517165,14,-959.7941176470588,808.16491580733,-3588.0,-327.0,64.17647058823529,82.28589707921698,3.0,346.0,0.9798064678907394,-21.74352216720581,188.73838424682617,38374.5478515625,133.7004015710214
31,31744,2262.8791713426167,14,-1365.8,569.3949947092967,-2080.5,-456.5,92.3,42.900000000000006,15.0,146.0,1.0025381743907928,-22.184505462646484,174.19383239746094,34966.3720703125,159.1888183403708
32,32768,2272.906011048683,15,-1479.0625,1323.3486038620927,-4821.5,-380.0,124.375,131.04096449202441,6.0,448.0,1.0033183097839355,-22.594712257385254,155.47665405273438,27396.01220703125,118.89231171764035
33,33792,2054.274044635721,15,-1197.25,1326.2466446705907,-5047.0,-362.0,88.0,124.55360291858281,5.0,450.0,0.9941810369491577,-23.066141605377197,151.06416702270508,25814.4765625,120.5355813567684
34,34816,2109.2233903114457,16,-1368.5625,1067.875239596719,-3588.0,-362.0,103.625,102.08199829058991,5.0,330.0,1.0219963490962982,-23.547916889190674,160.39694595336914,29968.46484375,65.34650960105293
35,35840,2096.2850305562106,16,-1657.1666666666667,1219.361741057819,-3576.5,-387.5,137.88888888888889,131.32694099878657,11.0,372.0,1.0104675889015198,-24.048720836639404,147.66986083984375,25347.7431640625,84.68000191417568
36,36864,1975.1107914529246,17,-1148.6764705882354,890.6616499774112,-3082.0,-320.0,93.6470588235294,97.86601956484756,3.0,359.0,0.9936680942773819,-24.539352893829346,169.9270133972168,32213.5556640625,93.23128555311254
37,37888,2029.8680202373948,17,-840.375,308.7544281058978,-1389.0,-314.0,54.75,36.15274309555684,2.0,104.0,0.9945328086614609,-25.000142574310303,158.70114517211914,28477.65087890625,31.678231627623116
38,38912,1990.4491525580827,18,-1304.1538461538462,1071.280782424897,-3727.5,-408.0,103.76923076923077,124.37793141263127,9.0,450.0,1.0059788823127747,-25.448277473449707,158.33953094482422,28676.09716796875,45.9602876722047
39,39936,1737.4308545797733,18,-903.2666666666667,533.0651263109311,-2283.5,-345.5,63.46666666666667,60.878969183856,4.0,251.0,1.00242979824543,-25.924895763397217,163.45180892944336,30946.96337890625,96.05045893119926
40,40960,2117.93736281998,19,-933.25,523.5739560940747,-2232.0,-334.0,65.16666666666667,48.55209115533084,3.0,145.0,1.0209773778915405,-26.40593671798706,172.09949111938477,33633.087890625,166.46808949627584
41,41984,2087.743900168625,19,-1234.1333333333334,1183.9295793622562,-4356.5,-321.0,85.73333333333333,104.83413354225594,3.0,358.0,1.0368117690086365,-26.810494422912598,162.57513046264648,31081.10693359375,105.80981684058384
42,43008,2054.273062081131,20,-787.6818181818181,415.25278570174316,-1708.5,-322.0,44.45454545454545,41.473679794569456,4.0,150.0,1.0430316627025604,-27.266891479492188,157.84041213989258,28495.3828125,199.0481141058604
43,44032,2153.536161381563,20,-1355.2333333333333,1068.5151826509325,-3417.5,-324.0,114.26666666666667,113.92773538032296,3.0,342.0,1.0412186086177826,-27.760135650634766,157.90396118164062,28264.33154296875,79.58030155424736
